date,shift,pump,pump_info,events,seal_failure,low_level,pump_swap,startup,shutdown,trip_fault,low_pressure,oil_lubrication,steam_issue,strainer_clean,maintenance_pm,vibration
03-01-2025,Day,P-1B,Bin 2   P-1B   Pull turbine,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-01-2025,Day,P-41B,Bin 3   P-41B   Seal repair,"['maintenance_pm', 'seal_failure']",1,0,0,0,0,0,0,0,0,0,1,0
03-01-2025,Day,P-44S,Bin 2   SV-981 @ P-44s,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-01-2025,Day,P-212A,Bin 1   P-212A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-01-2025,Day,P-214A,Bin 2   P-214A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-01-2025,Day,P-216A,IVOL rotating installing P-216A turbine | B&R is working on the 12” suction of P-216A/B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-01-2025,Day,P-216B,B&R is working on the 12” suction of P-216A/B | Bin 1   P-216B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-01-2025,Night,P-1B,2: P-1B,[],0,0,0,0,0,0,0,0,0,0,0,0
03-01-2025,Night,P-15B,Bin #7 P-15B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-01-2025,Night,P-15C,Bin #1 P-15 C,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-01-2025,Night,P-35A,Bin 5  P-35-A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-01-2025,Night,P-35B,Bin # 1  P-35-B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-01-2025,Night,P-36A,Bin 4  P-36-A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-01-2025,Night,P-37A,Bin # 14 P-37 A/B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-01-2025,Night,P-37B,Bin # 14 P-37 A/B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-01-2025,Night,P-41B,Bin #3 P-41B (main sat box T and I Bin #24),['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
